iter	Passed	Remaining
0	158	78869
1	398	99223
2	694	115123
3	1011	125379
4	1248	123604
5	1479	121783
6	1722	121315
7	1935	119011
8	2112	115245
9	2340	114663
10	2566	114075
11	2808	114221
12	3081	115452
13	3388	117625
14	3717	120200
15	4077	123336
16	4436	126042
17	4864	130272
18	5311	134471
19	5899	141579
20	6311	143959
21	6693	145433
22	7004	145262
23	7291	144618
24	7665	145651
25	8087	147434
26	8583	150375
27	8864	149429
28	9124	148189
29	9317	145970
30	9544	144393
31	9866	144293
32	10172	143956
33	10528	144301
34	10897	144786
35	11167	143935
36	11387	142494
37	11574	140723
38	11743	138815
39	11915	137032
40	12032	134708
41	12219	133247
42	12371	131482
43	12569	130261
44	12748	128896
45	12924	127557
46	13132	126576
47	13342	125641
48	13531	124546
49	13703	123327
50	13893	122317
51	14097	121454
52	14303	120634
53	14511	119856
54	14680	118781
55	14955	118576
56	15169	117893
57	15327	116802
58	15520	116009
59	15588	114315
60	15776	113542
61	15920	112468
62	16005	111021
63	16167	110143
64	16376	109598
65	16636	109400
66	16906	109262
67	17201	109282
68	17487	109232
69	17745	109009
70	17845	107825
71	18053	107319
72	18213	106536
73	18324	105488
74	18494	104799
75	18665	104133
76	18766	103095
77	18923	102381
78	19131	101955
79	19435	102036
80	19659	101694
81	19886	101370
82	20123	101100
83	20356	100813
84	20460	99894
85	20738	99834
86	21227	100768
87	21718	101680
88	21999	101593
89	22101	100683
90	22382	100599
91	22652	100460
92	22953	100453
93	23244	100397
94	23541	100360
95	23841	100332
96	24122	100218
97	24442	100262
98	24753	100263
99	25057	100229
100	25341	100109
101	25623	99980
102	25874	99729
103	26153	99582
104	26252	98758
105	26321	97835
106	26587	97653
107	26845	97438
108	27046	97021
109	27223	96521
110	27480	96306
111	27690	95927
112	27849	95376
113	28022	94881
114	28139	94206
115	28285	93633
116	28340	92772
117	28485	92215
118	28561	91443
119	28650	90727
120	28799	90206
121	28970	89759
122	29236	89610
123	29393	89129
124	29606	88820
125	29826	88531
126	29991	88086
127	30165	87668
128	30348	87282
129	30569	87005
130	30742	86595
131	30928	86224
132	31100	85817
133	31282	85442
134	31457	85050
135	31642	84690
136	31844	84375
137	32071	84128
138	32269	83808
139	32474	83506
140	32550	82877
141	32729	82515
142	32884	82095
143	32942	81440
144	33089	81012
145	33232	80577
146	33398	80202
147	33549	79792
148	33764	79539
149	33931	79173
150	34101	78817
151	34273	78467
152	34430	78087
153	34587	77710
154	34748	77343
155	34922	77007
156	35089	76660
157	35248	76297
158	35409	75940
159	35569	75585
160	35731	75235
161	35795	74683
162	35927	74280
163	36095	73951
164	36194	73486
165	36361	73161
166	36527	72837
167	36682	72491
168	36874	72222
169	37060	71941
170	37217	71605
171	37372	71267
172	37524	70927
173	37742	70712
174	37946	70471
175	38147	70225
176	38302	69895
177	38494	69635
178	38766	69519
179	39026	69380
180	39238	69154
181	39486	68992
182	39709	68785
183	39947	68604
184	40052	68197
185	40269	67981
